n_z,lambda_lin,lambda_spec,lambda_hankel,L,hankel_Tseq,spectral_target,spectral_iters,val_loss,test_rmse,test_mae,spectral_radius,trial,training_time
81,0.355062142707077,2.1830968390524625,1.032833974654988,5,5,1.0418497783931735,9,inf,2.0005295,1.2065439,1.027341708756931,1,106.54334306716919
64,0.10500232504231347,0.011727009450102244,0.7790698667460368,4,5,1.1447511037682918,8,0.3221746865531494,1.3929532,0.8213945,1.0469886294589656,3,131.0080108642578
16,7.164040428191017,0.1404060991910444,4.682521523598523,5,14,1.086061507717556,11,0.2884817064322274,1.6809361,0.98254377,1.0139792315337823,4,118.14261746406555
9,67.0818864334629,0.4896262051737685,0.451659424678903,2,7,0.9982050932052023,15,0.27632617231073053,1.7265736,0.99338037,0.99638244425341,5,73.83203530311584
64,31.59255390701752,0.03312027701465946,0.461742916925673,3,13,1.0350311748982488,7,0.35235178727528144,1.3645769,0.86359644,1.033580360375843,6,200.19857001304626
60,0.12414804282743948,3.3639871159587966,0.5809232814970414,4,15,1.0954543991712842,9,0.31204253769126433,1.4585997,0.85926056,1.03605410622528,7,258.7742247581482
60,3.6517646487517594,7.6474399075435135,2.7216838517143707,6,10,1.0673502331327696,19,0.35105443103560086,1.5172238,0.86132723,1.0314457115720337,8,283.38778162002563
64,0.6729728537157748,0.07741417985242886,0.19089017327597846,2,9,1.0289763036351138,9,0.3271186562447712,1.7047434,1.0096558,1.0304272224652486,9,144.49537110328674
9,0.3949364447222333,1.3615257464006507,2.2003133892770204,6,15,1.080215405100389,19,0.2736795174664465,1.968182,1.1764337,1.0061774367371075,10,116.83220529556274
11,1.2070432613139452,0.01,0.7183032153591787,2,6,1.15,12,0.2642507103496584,1.9719365,1.1100134,1.022136645806408,11,70.15090775489807
100,0.1,0.021014765057574263,0.28399876611052804,8,16,1.15,4,0.29071451132667475,1.5274417,0.9331659,1.046409033301373,12,1208.7805099487305
76,52.937538716168525,10.0,0.7316269302254935,4,12,0.9576612546237622,14,0.2863525203589735,2.124733,1.2616359,0.9498767394032722,13,329.1454436779022
89,43.77295861269227,0.12190539000483823,0.11811428355634394,8,15,1.0928798060542686,6,0.33459189636953945,1.1742172,0.71359336,1.0383221394813948,14,1048.8072299957275
100,0.1,10.0,4.999999999999999,7,12,1.15,20,0.4262584602010661,1.2762895,0.74166,1.0508570179924803,15,627.8341288566589
91,0.7485385486366327,8.744969199706965,3.935231715857899,3,12,1.0232295973381842,11,0.3746695662366933,1.6273693,0.9316376,1.0199696405322909,16,304.682510137558
8,0.1,0.01,4.999999999999999,2,16,1.15,20,0.3181478175623664,1.9709305,1.1670094,1.005908565872918,17,110.14818358421326
29,0.1,0.01,4.999999999999999,5,10,1.147460330419041,17,0.34651277522588597,1.4169074,0.81349427,1.0437614065984269,19,159.1673023700714
90,35.444182967926466,0.01786618987510477,0.2206981720599174,3,15,1.119917542751018,6,0.32869511817036,1.1073132,0.68389326,1.0530705893888879,20,319.1118836402893
100,100.0,0.01,0.10255529212556422,8,16,1.15,7,0.3218528864712551,1.087209,0.6486435,1.0429733427669337,21,1224.180626630783
87,0.12719008820586147,0.016443036679878283,0.34808563484951305,8,10,1.0212483910613404,6,0.3576291365356281,1.677672,1.0452898,1.0415139407026104,22,224.81748938560486
100,0.2654986515333549,9.319636281152105,2.412673093291626,2,15,0.953180962864129,7,0.37431700835967885,2.1995585,1.4793439,0.9982985049138587,23,226.27951192855835
8,0.1,0.01,4.999999999999999,8,12,0.95,17,0.28998715045123263,2.2570355,1.394964,0.9943461645174952,24,114.13859868049622
72,0.3710764598128222,0.01,0.1561704608049013,3,6,0.9874048780723226,20,0.3005459760797435,2.1128798,1.1862622,1.0069305712463132,26,182.01427245140076
8,0.1,0.01,4.999999999999999,2,4,1.15,4,0.2595555540816537,2.1178195,1.2460635,0.9995486059708389,27,60.09934902191162
100,100.0,0.32466375433039735,0.1,6,11,1.15,20,0.3147585594962383,1.2501415,0.73066676,1.0514222230850248,28,538.1960909366608
8,100.0,10.0,4.999999999999999,2,9,1.15,20,0.30001986129530545,2.3612769,1.4316288,0.9898792252973496,29,79.93580317497253
9,100.0,0.01,0.1,6,16,0.95,20,0.30842952019181746,1.4998323,0.905036,0.9958055038414436,30,122.74097967147827
