n_z,lambda_lin,lambda_spec,lambda_hankel,L,hankel_Tseq,spectral_target,spectral_iters,val_loss,test_rmse,test_mae,spectral_radius,trial,training_time
41,0.355062142707077,2.1830968390524625,1.032833974654988,5,5,1.0418497783931735,9,inf,0.26009125,0.16876185,1.026840983726773,1,107.04188895225525
32,0.10500232504231347,0.011727009450102244,0.7790698667460368,4,5,1.1447511037682918,8,0.024743471936932927,0.32960245,0.17893937,1.0080097113694455,3,110.89245772361755
8,7.164040428191017,0.1404060991910444,4.682521523598523,5,14,1.086061507717556,11,0.028407899983998,0.35235918,0.17923199,1.0121987384744957,4,101.5663902759552
5,67.0818864334629,0.4896262051737685,0.451659424678903,2,7,0.9982050932052023,15,0.033998624293197846,0.36970615,0.30439064,0.9944524935261843,5,73.46182084083557
32,31.59255390701752,0.03312027701465946,0.461742916925673,3,13,1.0350311748982488,7,0.02379819593424427,0.37460646,0.31013417,1.0142019085928602,6,127.28652596473694
30,0.12414804282743948,3.3639871159587966,0.5809232814970414,4,15,1.0954543991712842,9,0.024473177269101143,0.30817106,0.20894104,1.0238855129743927,7,152.55378103256226
30,3.6517646487517594,7.6474399075435135,2.7216838517143707,6,10,1.0673502331327696,19,0.026927047087971508,0.34453696,0.26013437,1.031655275680713,8,170.82013583183289
32,0.6729728537157748,0.07741417985242886,0.19089017327597846,2,9,1.0289763036351138,9,0.02296676746858605,0.38968194,0.23882739,1.0221011940651248,9,106.89898705482483
5,0.3949364447222333,1.3615257464006507,2.2003133892770204,6,15,1.080215405100389,19,0.02462663218892854,0.344449,0.1951046,0.9940070478388127,10,110.38997745513916
5,1.241369680406961,0.01,0.7028667155613928,2,6,1.15,12,0.030390064007249373,0.3017281,0.20094085,0.9977126804424927,11,69.36509776115417
50,0.1,0.01,0.27758893131368595,8,16,1.15,4,0.024425132521267594,0.367201,0.23963612,1.030568959278069,12,509.70034289360046
18,100.0,10.0,3.2085901881301173,4,12,0.9625787004290307,20,0.027011872237098628,1.0894874,0.9600748,0.96286079898714,14,126.8865921497345
50,0.1,10.0,0.1,7,12,1.15,4,0.02199359726289223,0.2749555,0.19758765,1.0234217614762293,15,303.0250105857849
50,0.17529860285794951,0.01,4.999999999999999,5,10,0.9554592421559344,20,0.027529797388304925,0.3649536,0.28024963,0.9855315057329274,16,226.88773727416992
9,0.7159324531025572,3.762607998747892,1.0256073383678608,4,14,1.0112511721838453,7,0.023950534037731844,0.3540398,0.19096705,1.0107478455908239,17,92.4372992515564
50,100.0,8.74496686234916,0.1,8,16,0.95,4,0.028209776842388613,0.3653058,0.29352623,0.9819743700200827,18,502.40641355514526
18,2.659726323764787,0.10939961711444234,1.2256878274070087,4,12,1.0621888653986478,10,0.024710545252109396,0.2763224,0.20521297,1.0173758858375608,19,110.93815612792969
9,15.016949186940394,0.09143998952795791,0.2197732050145069,7,9,1.031302997094296,17,0.027085293951476443,0.41649595,0.35866487,1.0121223064758957,20,108.5179750919342
41,0.1421028761628769,1.1084389461625728,0.334495540075906,4,12,1.1221808403347433,16,0.024274286139627982,0.33946213,0.22485134,1.041731329955392,21,176.1810383796692
19,1.536964102269002,0.04181992749501389,0.5293026123729648,2,8,0.9679387931766769,14,0.028434825900556713,0.35968664,0.30062428,0.9704643359992146,22,101.99492621421814
32,0.1,0.01,0.6351266935422171,3,5,1.15,10,0.02460017598009315,0.31706744,0.2652789,1.0594482370075107,23,108.82086205482483
9,12.438691417687592,0.056689184394428604,0.22237833036408403,4,4,1.0161942024495374,15,inf,0.3360117,0.26919097,1.0028782676667158,24,73.08830404281616
12,24.87127375075619,0.044128813093967295,0.8945226893315557,5,16,0.9990040404561148,18,0.024781720777010095,0.31812835,0.23290585,0.9950773990658031,26,121.23908567428589
17,9.428533947402011,0.031144708232221752,0.27263566477109297,2,16,1.0086457404350897,9,0.022948961608625692,0.43356374,0.3386495,1.000419644134712,27,100.07211232185364
4,100.0,0.021496603124370614,3.254368379707514,2,9,1.15,6,0.03401415515691042,0.31689358,0.24379647,0.9972055188400223,28,62.53385066986084
4,0.1,0.01,1.437853401334091,2,7,1.15,4,0.029191229620884204,0.32200888,0.19831362,1.0002142993394048,29,59.51772928237915
33,0.2505802153977281,0.010841973287986384,0.3785461424925872,6,9,1.0900689066172986,13,0.023615469256865567,0.31579903,0.21138127,1.011123935972051,30,162.83364248275757
