n_z,lambda_lin,lambda_spec,lambda_hankel,L,hankel_Tseq,spectral_target,spectral_iters,val_loss,test_rmse,test_mae,spectral_radius,trial,training_time
73,0.355062142707077,2.1830968390524625,1.032833974654988,5,5,1.0418497783931735,9,inf,1.6908625,1.247873,1.0036043863432442,1,110.0345196723938
57,0.10500232504231347,0.011727009450102244,0.7790698667460368,4,5,1.1447511037682918,8,0.5427881570185645,2.886679,2.3897736,1.0435770558207274,3,120.96827244758606
14,7.164040428191017,0.1404060991910444,4.682521523598523,5,14,1.086061507717556,11,0.46838385775937874,2.4713085,1.814462,0.9891124980375469,4,116.03117799758911
7,67.0818864334629,0.4896262051737685,0.451659424678903,2,7,0.9982050932052023,15,0.5285045560133659,1.680473,1.4074924,1.0198819834575548,5,75.06229948997498
57,31.59255390701752,0.03312027701465946,0.461742916925673,3,13,1.0350311748982488,7,0.4825175303523823,3.889741,3.1485517,1.086325587570375,6,186.45179390907288
54,0.12414804282743948,3.3639871159587966,0.5809232814970414,4,15,1.0954543991712842,9,0.45903836721080843,2.485189,2.0008936,0.9934360636588846,7,242.94716930389404
54,3.6517646487517594,7.6474399075435135,2.7216838517143707,6,10,1.0673502331327696,19,0.6267761224407261,15.529608,10.062321,0.9629109607834501,8,276.2758255004883
57,0.6729728537157748,0.07741417985242886,0.19089017327597846,2,9,1.0289763036351138,9,0.5546325783608324,3.3663423,2.7754242,1.038339589500352,9,135.32571077346802
7,0.3949364447222333,1.3615257464006507,2.2003133892770204,6,15,1.080215405100389,19,0.48047435738272587,3.54795,2.6928835,1.0057404780885417,10,114.40703272819519
9,1.2912732847714334,0.01,0.6886984048748954,2,6,1.15,12,0.35264985238091423,2.3618586,1.6756787,1.0044628475900643,11,70.74830031394958
21,100.0,10.0,3.3966623558867357,5,12,0.9585939637525218,20,0.5581402581627086,2.528801,1.8702549,0.9609700215909864,12,146.6376850605011
90,0.6750785997106338,0.01,0.2782096454260693,8,16,1.1422353397529748,4,0.41025951959319035,7.3795624,4.3932843,1.074539585649738,13,1130.2531416416168
56,66.86779638579462,0.27406221013778836,0.11328951070606769,6,16,1.1096076457709132,11,0.5818097535836495,3.683112,2.9893687,1.068993245050983,14,415.7159323692322
90,0.35899876043201384,10.0,0.1,8,12,1.15,4,0.5457075541302309,2.9466772,2.1246138,1.054153926743559,16,411.48304629325867
36,34.31619451180259,0.4598993459187791,0.16047017997365784,4,10,0.9669398379597336,20,0.441108193943056,2.241265,1.4814641,0.9616530096687036,17,165.34866333007812
62,52.89588460769566,0.04240206542833563,0.19767389891340204,3,6,1.0632208835173986,10,0.49085602770417425,5.03719,3.7324824,1.0824141008811865,18,155.0576114654541
6,0.1,0.01,4.999999999999999,2,16,1.15,20,0.410764436600572,2.4435513,1.8687708,1.0356863960878664,19,106.30675721168518
6,0.1,0.01,4.999999999999999,4,7,1.1419662942696802,11,0.49345914489131865,2.7844365,2.343346,1.005090747990419,20,69.53332686424255
86,0.16397386459636382,10.0,0.13544670284394672,2,11,1.15,19,0.5403754377769212,6.0131936,4.9852624,1.0945700104007579,21,197.84809398651123
6,100.0,10.0,4.999999999999999,2,16,0.95,20,0.5045593325364388,3.0978234,2.2682326,0.9568615202432418,22,106.71528601646423
30,0.8963808125122693,0.14005738321097666,0.10898253143230746,7,16,1.106529315464914,19,0.4255089406239784,2.411494,2.0259643,1.0610609513416953,23,233.68114066123962
20,0.25862965442396557,0.6510276305986221,0.6492641749373756,7,7,1.1099916909168357,18,inf,2.8749757,2.438167,1.0446288543415039,24,111.37013602256775
90,0.10924923071048498,0.01,0.22407034539758494,3,5,1.1307402090990797,4,0.6071611228635756,6.8021946,5.048758,1.0371423209381696,25,150.25678992271423
90,95.14537249915404,0.3322809244151035,0.15595756958551243,2,15,1.15,4,0.5541258878627066,4.807644,3.5230489,1.0615672168098567,26,203.19791674613953
90,100.0,10.0,4.999999999999999,8,16,0.95,4,0.5959291084338043,1.3601204,1.1289886,1.0132169316459487,27,1098.0658385753632
90,0.13933205459644152,10.0,3.6210797799458274,6,11,1.15,20,0.5965793147935705,5.9151893,3.0527813,1.0722755224842482,28,489.3288106918335
6,100.0,0.01,3.8852959237172566,5,16,0.95,20,0.47641713993024015,4.2104683,3.2287326,1.0549705249198706,29,114.7389976978302
6,100.0,0.01,4.999999999999999,3,6,0.95,20,0.4962671156656944,3.661511,2.401915,1.0240546895402607,30,79.96510648727417
