n_z,lambda_lin,lambda_spec,lambda_hankel,L,hankel_Tseq,spectral_target,spectral_iters,val_loss,test_rmse,test_mae,spectral_radius,trial,training_time
41,0.355062142707077,2.1830968390524625,1.032833974654988,5,5,1.0418497783931735,9,inf,0.14385378,0.12642662,1.0261296225079357,1,100.95272302627563
32,0.10500232504231347,0.011727009450102244,0.7790698667460368,4,5,1.1447511037682918,8,0.03442762676497985,0.11518801,0.095361404,1.0126611598462256,3,108.56839227676392
8,7.164040428191017,0.1404060991910444,4.682521523598523,5,14,1.086061507717556,11,0.042683500411181616,0.08781283,0.07073363,1.0086363277109487,4,101.72104787826538
5,67.0818864334629,0.4896262051737685,0.451659424678903,2,7,0.9982050932052023,15,0.04818672603317376,0.21396841,0.19112211,1.0032081360485892,5,72.57254385948181
32,31.59255390701752,0.03312027701465946,0.461742916925673,3,13,1.0350311748982488,7,0.035105647583459985,0.07687218,0.06227535,1.0293886799121965,6,124.94963097572327
30,0.12414804282743948,3.3639871159587966,0.5809232814970414,4,15,1.0954543991712842,9,0.031682321191604794,0.10764146,0.09551284,1.0254510647614492,7,146.40895628929138
30,3.6517646487517594,7.6474399075435135,2.7216838517143707,6,10,1.0673502331327696,19,0.04136108054683126,0.15562376,0.13545398,1.0407817732038338,8,162.98914623260498
32,0.6729728537157748,0.07741417985242886,0.19089017327597846,2,9,1.0289763036351138,9,0.032216944924459374,0.11226087,0.09912361,1.0393476393305594,9,105.33310079574585
5,0.3949364447222333,1.3615257464006507,2.2003133892770204,6,15,1.080215405100389,19,0.04326723085652138,0.15155596,0.13123003,1.0197096485735855,10,107.52242755889893
5,1.2413662445979412,0.01,0.7028675714432828,2,6,1.15,12,0.03940139055765908,0.07584284,0.06486756,1.0016426891660815,11,68.7725682258606
12,100.0,10.0,3.392436776500052,5,12,0.9586057975316878,20,0.045170844050830807,0.58211523,0.41859302,0.962829323288124,12,119.66400098800659
50,5.97274614709954,0.011930086332868238,0.27824379780646524,8,13,1.1093890212346071,4,0.031148134538068854,0.12851112,0.111140005,1.063013027858083,13,366.7438907623291
16,7.0597948281934455,5.950908347863462,0.11458530511627608,6,15,1.1443722871669482,14,0.03642982739055979,0.17106526,0.13526882,1.0260768608596107,14,131.5957133769989
50,0.1,0.01,0.1,8,16,0.95,4,0.03232924553469337,0.19791253,0.17616469,1.0044831536887118,16,490.1490156650543
20,34.31605357782248,0.4598890883634791,0.16047047139016787,4,10,0.96693990300632,20,0.03835346825934689,0.22075368,0.19529761,0.9786548391760533,17,128.64877271652222
26,5.152394422787718,3.4600944292540046,4.608700438236504,5,14,1.0449776778556994,14,0.03989869651609454,0.09164473,0.079980314,1.017297393025294,18,154.42362189292908
16,3.161803522302149,0.7372190286907535,2.684663587628129,5,14,1.0673048273582677,14,0.0389141468010072,0.12087754,0.10169766,1.0097471716478097,19,124.98162627220154
11,10.700413411315415,2.6301351866522413,3.932881943946013,5,14,1.00751629997856,14,0.04532093439122726,0.17006658,0.14833164,1.000082362133918,20,109.42618083953857
15,4.498460177302715,2.251223706044845,1.7188634268828804,5,14,1.0100243358079322,8,0.040845082880094134,0.074980214,0.06577338,0.998020406971884,21,111.3397445678711
23,5.027738803484762,7.219917023182632,4.293052487689759,5,14,1.0695772279293982,14,0.036719903863709547,0.16148706,0.14819679,1.0426837481814089,22,146.59335446357727
44,1.4862198185068682,1.1493980118575362,2.885092123264568,3,7,1.1396616359710534,20,0.035314350356829574,0.16948558,0.15792796,1.0307877087673212,23,145.87767434120178
4,99.9999999999955,0.01,4.999999999999999,2,16,1.15,15,0.05035883991111969,0.22123672,0.18476969,0.9932931398060241,24,74.24903988838196
4,0.10000027409579175,0.010000010608979003,0.7711649262934619,6,12,1.0644273531513229,4,0.0373769409569173,0.14941965,0.13229796,0.9971181041371688,25,82.07716870307922
49,83.35823166047206,1.3918500791268464,0.19850338938123196,7,16,1.009147514447249,13,0.03727956231811951,0.15398097,0.1318888,1.0022976200329243,26,427.0432651042938
39,0.35856402123312,3.6816765172641053,2.879982634142182,6,15,1.1220150966325448,12,0.03712948058442823,0.06828157,0.05441128,1.0230761710513154,27,245.89172291755676
6,0.2570327761148795,0.09517866604145671,1.3405341541442475,7,9,1.1156917195584255,16,0.041461029379018424,0.14365558,0.12525535,1.0428694523520947,28,103.97360301017761
5,0.1,0.01,0.12043404873593942,3,4,1.1469547100535322,4,0.04541463860920791,0.14735699,0.13392948,1.0031648233332056,30,59.657424449920654
