System,Model,Valid,Diverged,Total,Success (%)
Duffing,VAR,100,0,100,100.0
Duffing,eDMD,84,16,100,84.0
Duffing,KAE-B,100,0,100,100.0
Duffing,KAE-A,100,0,100,100.0
Duffing,MoE-2,100,0,100,100.0
Duffing,MoE-3,100,0,100,100.0
Duffing,MoE-4,100,0,100,100.0
Van der Pol,VAR,100,0,100,100.0
Van der Pol,eDMD,100,0,100,100.0
Van der Pol,KAE-B,100,0,100,100.0
Van der Pol,KAE-A,100,0,100,100.0
Van der Pol,MoE-2,100,0,100,100.0
Van der Pol,MoE-3,100,0,100,100.0
Van der Pol,MoE-4,100,0,100,100.0
Lorenz,VAR,100,0,100,100.0
Lorenz,eDMD,100,0,100,100.0
Lorenz,KAE-B,100,0,100,100.0
Lorenz,KAE-A,100,0,100,100.0
Lorenz,MoE-2,100,0,100,100.0
Lorenz,MoE-3,100,0,100,100.0
Lorenz,MoE-4,100,0,100,100.0
Double Pendulum,VAR,100,0,100,100.0
Double Pendulum,eDMD,85,15,100,85.0
Double Pendulum,KAE-B,100,0,100,100.0
Double Pendulum,KAE-A,100,0,100,100.0
Double Pendulum,MoE-2,100,0,100,100.0
Double Pendulum,MoE-3,100,0,100,100.0
Double Pendulum,MoE-4,100,0,100,100.0
